Product Name,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Unlimited Main Quota (GB),Limited Application Quota (GB),Operator,Others,Limited Main Quota Duration (Hari),Limited Application Quota Duration (Hari),Unlimited Application Quota (GB),Unlimited Application Quota Duration (Hari),Total Anggota,ProductName
Xtra Combo VIP Plus 20 GB,101.0,30.0,40.0,,3.0,XL,,,,1.0,,,
Xtra Combo VIP Plus 30 GB,141.0,30.0,54.0,,6.0,XL,,,,1.0,,,
Xtra Combo VIP Plus 52 GB,192.0,30.0,92.0,,9.0,XL,,,,1.0,,,
Xtra Combo VIP Plus 72 GB,252.5,30.0,122.0,,15.0,XL,,,,1.0,,,
Xtra Combo Plus 10 GB,59.9,30.0,20.0,,3.0,XL,,,,2.0,,,
Xtra Combo Plus 20 GB,89.9,30.0,40.0,,3.0,XL,,,,2.0,,,
Xtra Combo Plus 30 GB,134.0,30.0,56.0,,6.0,XL,,,,2.0,,,
Xtra Combo Plus 52 GB,182.9,30.0,92.0,,9.0,XL,,,,2.0,,,
Xtra Combo Plus 72 GB,244.9,30.0,122.0,,15.0,XL,,,,2.0,,,
Xtra Combo Mini 1.5 GB,9.9,7.0,3.5,,0.5,XL,,,,,,,
Xtra Combo Mini 2.5 GB,14.9,7.0,5.5,,1.0,XL,,,,,,,
Xtra Combo Mini 4 GB,18.9,7.0,8.0,,2.0,XL,,,,,,,
Xtra Combo Mini 6 GB,24.9,7.0,11.5,,3.0,XL,,,,,,,
Xtra Kuota Utama 2GB,6.0,0.5,2.0,,,XL,,,,,,,
Xtra Kuota Utama 2GB,7.5,1.0,2.0,,,XL,,,,,,,
,1.0,1.0,,,0.5,Axis,,,,,,,AXIS BOOSTR video 500 MB Rp 1.000
,1.3,1.0,,,1.0,Axis,,,,,,,AXIS BOOSTR video 1 GB Rp 1.300
,2.0,1.0,,,2.0,Axis,,,,,,,AXIS BOOSTR video 2 GB Rp 2.000
,4.0,7.0,,,1.0,Axis,,,,,,,AXIS BOOSTR video 1 GB Rp 4.000
,6.0,7.0,,,2.0,Axis,,,,,,,AXIS BOOSTR video 2 GB Rp 6.000
,8.5,7.0,,,3.0,Axis,,,,,,,AXIS BOOSTR video 3 GB Rp 8.500
,5.0,30.0,,,1.0,Axis,,,,,,,AXIS BOOSTR video 1 GB Rp 5.000
,8.5,30.0,,,2.0,Axis,,,,,,,AXIS BOOSTR video 2 GB Rp 8.500
,16.5,30.0,,,5.0,Axis,,,,,,,AXIS BOOSTR video 5 GB Rp 16.500
,0.6,1.0,,,0.5,Axis,,,,,,,AXIS BOOSTR musik 500 MB Rp 600
,1.0,1.0,,,1.0,Axis,,,,,,,AXIS BOOSTR musik 1 GB Rp 1.000
,1.5,1.0,,,2.0,Axis,,,,,,,AXIS BOOSTR musik 2 GB Rp 1.500
,3.5,7.0,,,1.0,Axis,,,,,,,AXIS BOOSTR musik 1 GB Rp 3.500
,5.5,7.0,,,2.0,Axis,,,,,,,AXIS BOOSTR musik 2 GB Rp 5.500
,7.5,7.0,,,3.0,Axis,,,,,,,AXIS BOOSTR musik 3 GB Rp 7.500
,4.5,30.0,,,1.0,Axis,,,,,,,AXIS BOOSTR musik 1 GB Rp 4.500
,7.5,30.0,,,2.0,Axis,,,,,,,AXIS BOOSTR musik 2 GB Rp 7.500
,15.0,30.0,,,5.0,Axis,,,,,,,AXIS BOOSTR musik 5 GB Rp 15.000
,1.0,1.0,,,0.5,Axis,,,,,,,AXIS BOOSTR sosmed 500 MB Rp 1.000
,1.3,1.0,,,1.0,Axis,,,,,,,AXIS BOOSTR sosmed 1 GB Rp 1.300
,2.0,1.0,,,2.0,Axis,,,,,,,AXIS BOOSTR sosmed 2 GB Rp 2.000
,4.0,7.0,,,1.0,Axis,,,,,,,AXIS BOOSTR sosmed 1 GB Rp 4.000
,6.0,7.0,,,2.0,Axis,,,,,,,AXIS BOOSTR sosmed 2 GB Rp 6.000
,8.5,7.0,,,3.0,Axis,,,,,,,AXIS BOOSTR sosmed 3 GB Rp 8.500
,5.0,30.0,,,1.0,Axis,,,,,,,AXIS BOOSTR sosmed 1 GB Rp 5.000
,8.5,30.0,,,2.0,Axis,,,,,,,AXIS BOOSTR sosmed 2 GB Rp 8.500
,16.5,30.0,,,5.0,Axis,,,,,,,AXIS BOOSTR sosmed 5 GB Rp 16.500
,0.8,1.0,,,2.0,Axis,,,,,,,AXIS BOOSTR edukasi 2 GB Rp 800
,2.9,7.0,,,5.0,Axis,,,,,,,AXIS BOOSTR edukasi 5 GB Rp 2.900
,8.9,7.0,,,15.0,Axis,,,,,,,AXIS BOOSTR edukasi 15 GB Rp 8.900
,0.7,1.0,,,0.5,Axis,,,,,,,AXIS BOOSTR games 500 MB Rp 700
,1.2,1.0,,,1.0,Axis,,,,,,,AXIS BOOSTR games 1 GB Rp 1.200
,1.7,1.0,,,2.0,Axis,,,,,,,AXIS BOOSTR games 2 GB Rp 1.700
,3.5,7.0,,,1.0,Axis,,,,,,,AXIS BOOSTR games 1 GB Rp 3.500
,5.5,7.0,,,2.0,Axis,,,,,,,AXIS BOOSTR games 2 GB Rp 5.500
,7.5,7.0,,,3.0,Axis,,,,,,,AXIS BOOSTR games 3 GB Rp 7.500
